iter	Passed	Remaining
437	1358	1743
438	1360	1738
439	1363	1735
440	1365	1731
441	1367	1726
442	1369	1722
443	1372	1718
444	1374	1713
445	1379	1713
446	1382	1710
447	1385	1706
448	1387	1702
449	1389	1698
450	1392	1694
451	1394	1691
452	1402	1693
453	1404	1689
454	1410	1689
455	1412	1685
456	1414	1680
457	1417	1677
458	1419	1672
459	1422	1669
460	1424	1665
461	1426	1661
462	1428	1657
463	1431	1653
464	1432	1648
465	1434	1644
466	1437	1641
467	1439	1636
468	1441	1632
469	1444	1628
470	1446	1624
471	1448	1619
472	1449	1615
473	1453	1613
474	1455	1608
475	1457	1604
476	1459	1600
477	1461	1596
478	1463	1591
479	1467	1589
480	1469	1585
481	1473	1584
482	1476	1580
483	1479	1577
484	1485	1577
485	1487	1572
486	1489	1569
487	1492	1565
488	1495	1563
489	1499	1561
490	1502	1557
491	1505	1554
492	1509	1551
493	1514	1551
494	1516	1547
495	1519	1543
496	1521	1539
497	1523	1536
498	1529	1536
499	1533	1533
500	1536	1530
501	1540	1527
502	1547	1529
503	1550	1525
504	1553	1522
505	1556	1519
506	1562	1519
507	1566	1517
508	1569	1514
509	1571	1510
510	1575	1507
511	1577	1503
512	1581	1501
513	1589	1503
514	1593	1500
515	1596	1497
516	1598	1493
517	1601	1489
518	1605	1487
519	1607	1484
520	1609	1480
521	1612	1476
522	1614	1472
523	1616	1468
524	1620	1466
525	1623	1462
526	1625	1458
527	1630	1457
528	1637	1457
529	1640	1454
530	1643	1451
531	1647	1449
532	1653	1448
533	1656	1445
534	1658	1441
535	1661	1438
536	1664	1434
537	1669	1433
538	1672	1430
539	1674	1426
540	1678	1423
541	1684	1423
542	1687	1420
543	1690	1416
544	1693	1413
545	1698	1412
546	1701	1409
547	1704	1405
548	1706	1402
549	1710	1399
550	1713	1396
551	1716	1392
552	1719	1389
553	1722	1386
554	1726	1384
555	1729	1381
556	1732	1377
557	1734	1374
558	1739	1372
559	1742	1369
560	1744	1365
561	1747	1362
562	1750	1358
563	1754	1355
564	1756	1352
565	1759	1349
566	1764	1347
567	1773	1348
568	1775	1345
569	1778	1341
570	1780	1337
571	1785	1336
572	1787	1332
573	1790	1328
574	1792	1324
575	1794	1321
576	1797	1317
577	1802	1315
578	1804	1312
579	1808	1309
580	1816	1310
581	1819	1306
582	1823	1304
583	1835	1307
584	1838	1304
585	1840	1300
586	1842	1296
587	1848	1295
588	1850	1291
589	1852	1287
590	1854	1283
591	1856	1279
592	1859	1276
593	1867	1276
594	1869	1272
595	1872	1268
596	1875	1265
597	1878	1262
598	1880	1258
599	1882	1254
600	1884	1251
601	1886	1247
602	1888	1243
603	1896	1243
604	1898	1239
605	1900	1235
606	1902	1231
607	1906	1229
608	1908	1225
609	1910	1221
610	1912	1217
611	1914	1213
612	1916	1209
613	1918	1206
614	1924	1205
615	1926	1201
616	1929	1197
617	1931	1194
618	1934	1190
619	1937	1187
620	1939	1183
621	1942	1180
622	1944	1176
623	1946	1172
624	1949	1169
625	1952	1166
626	1954	1162
627	1956	1158
628	1958	1154
629	1959	1151
630	1962	1147
631	1968	1145
632	1971	1143
633	1973	1139
634	1976	1135
635	1981	1134
636	1984	1130
637	1986	1126
638	1988	1123
639	1990	1119
640	1992	1115
641	1996	1113
642	1999	1110
643	2001	1106
644	2003	1102
645	2006	1099
646	2009	1096
647	2012	1093
648	2015	1089
649	2016	1086
650	2018	1082
651	2020	1078
652	2025	1076
653	2027	1072
654	2029	1069
655	2031	1065
656	2033	1061
657	2035	1058
658	2042	1056
659	2043	1052
660	2046	1049
661	2054	1049
662	2058	1046
663	2060	1042
664	2062	1038
665	2064	1035
666	2069	1032
667	2070	1029
668	2073	1025
669	2075	1022
670	2077	1018
671	2079	1015
672	2088	1014
673	2090	1011
674	2092	1007
675	2096	1004
676	2105	1004
677	2109	1001
678	2118	1001
679	2123	999
680	2126	996
681	2131	993
682	2135	990
683	2138	987
684	2140	984
685	2142	980
686	2147	978
687	2150	975
688	2153	972
689	2156	968
690	2159	965
691	2165	963
692	2170	961
693	2172	957
694	2179	956
695	2181	952
696	2183	949
697	2185	945
698	2188	942
699	2192	939
700	2195	936
701	2198	933
702	2201	929
703	2209	929
704	2214	926
705	2218	923
706	2222	921
707	2224	917
708	2227	914
709	2231	911
710	2237	909
711	2242	907
712	2246	904
713	2259	905
714	2268	904
715	2270	900
716	2274	897
717	2277	894
718	2287	893
719	2289	890
720	2292	887
721	2299	885
722	2306	883
723	2310	880
724	2315	878
725	2317	874
726	2321	871
727	2328	870
728	2333	867
729	2354	870
730	2362	869
731	2366	866
732	2369	863
733	2377	861
734	2380	858
735	2383	854
736	2386	851
737	2390	848
738	2393	845
739	2444	858
740	2447	855
741	2452	852
742	2458	850
743	2461	846
744	2464	843
745	2466	839
746	2474	838
747	2478	835
748	2481	831
749	2489	829
750	2504	830
751	2507	826
752	2510	823
753	2512	819
754	2517	817
755	2520	813
756	2523	810
757	2528	807
758	2535	804
759	2537	801
760	2540	797
761	2543	794
762	2550	792
763	2553	788
764	2556	785
765	2564	783
766	2566	779
767	2582	780
768	2585	776
769	2589	773
770	2592	770
771	2598	767
772	2600	763
773	2603	760
774	2605	756
775	2614	754
776	2617	751
777	2622	748
778	2630	746
779	2633	742
780	2635	739
781	2638	735
782	2645	733
783	2648	729
784	2650	725
785	2652	722
786	2659	719
787	2664	716
788	2667	713
789	2677	711
790	2681	708
791	2694	707
792	2697	704
793	2701	700
794	2705	697
795	2709	694
796	2714	691
797	2721	688
798	2723	685
799	2725	681
800	2728	677
801	2734	675
802	2737	671
803	2739	667
804	2743	664
805	2749	661
806	2753	658
807	2755	654
808	2758	651
809	2762	647
810	2766	644
811	2769	641
812	2771	637
813	2773	633
814	2778	630
815	2780	627
816	2783	623
817	2785	619
818	2788	616
819	2796	613
820	2802	610
821	2804	607
822	2809	604
823	2811	600
824	2813	596
825	2818	593
826	2826	591
827	2829	587
828	2832	584
829	2834	580
830	2838	577
831	2843	574
832	2845	570
833	2847	566
834	2850	563
835	2878	564
836	2881	561
837	2887	558
838	2940	564
839	2943	560
840	2957	559
841	2960	555
842	2963	551
843	2968	548
844	3012	552
845	3015	548
846	3024	546
847	3032	543
848	3035	539
849	3045	537
850	3049	533
851	3052	530
852	3055	526
853	3059	523
854	3092	524
855	3094	520
856	3096	516
857	3099	512
858	3101	509
859	3106	505
860	3110	502
861	3113	498
862	3117	494
863	3124	491
864	3126	487
865	3133	484
866	3137	481
867	3140	477
868	3142	473
869	3145	469
870	3147	466
871	3150	462
872	3154	458
873	3156	455
874	3159	451
875	3161	447
876	3164	443
877	3168	440
878	3170	436
879	3172	432
880	3175	428
881	3178	425
882	3186	422
883	3188	418
884	3190	414
885	3192	410
886	3208	408
887	3216	405
888	3218	401
889	3220	398
890	3223	394
891	3225	390
892	3232	387
893	3235	383
894	3240	380
895	3247	376
896	3251	373
897	3254	369
898	3263	366
899	3276	364
900	3282	360
901	3290	357
902	3294	353
903	3296	350
904	3299	346
905	3305	342
906	3307	339
907	3309	335
908	3311	331
909	3314	327
910	3319	324
911	3322	320
912	3328	317
913	3331	313
914	3337	310
915	3344	306
916	3348	303
917	3350	299
918	3354	295
919	3356	291
920	3363	288
921	3366	284
922	3368	281
923	3371	277
924	3375	273
925	3377	269
926	3379	266
927	3382	262
928	3384	258
929	3386	254
930	3391	251
931	3393	247
932	3395	243
933	3398	240
934	3400	236
935	3404	232
936	3407	229
937	3409	225
938	3411	221
939	3413	217
940	3418	214
941	3420	210
942	3422	206
943	3425	203
944	3427	199
945	3429	195
946	3440	192
947	3442	188
948	3448	185
949	3450	181
950	3453	177
951	3455	174
952	3458	170
953	3468	167
954	3471	163
955	3474	159
956	3479	156
957	3482	152
958	3484	148
959	3487	145
960	3489	141
961	3494	138
962	3497	134
963	3499	130
964	3501	127
965	3503	123
966	3508	119
967	3511	116
968	3514	112
969	3516	108
970	3519	105
971	3524	101
972	3530	97
973	3533	94
974	3538	90
975	3540	87
976	3544	83
977	3546	79
978	3559	76
979	3563	72
980	3568	69
981	3571	65
982	3574	61
983	3587	58
984	3590	54
985	3593	51
986	3604	47
987	3609	43
988	3612	40
989	3618	36
990	3622	32
991	3627	29
992	3634	25
993	3644	21
994	3656	18
995	3665	14
996	3667	11
997	3673	7
998	3675	3
999	3683	0
